Last,First,Team,RateAssist,RateCDefence,RateClearing,RateCoincidentalMinor,RateCRank,RateCShotPct,RateCShotPlus,RateFaceoff,RateFight,RateForechecking,RateGameFatigue,RateGameMisconduct,RateGRank,RateGrossMisconduct,RateHiddenGoalScored,RateHiddenSaveClear,RateHiddenSaveFaceoff,RateHiddenSaveRebound,RateHiddenShotDefender,RateHiddenShotDeflected,RateHiddenShotOnGoal,RateHiddenShotWide,RateInactive,RateInjuryFactor,RateIntimidation,RateLDDefence,RateLDRank,RateLDShotPct,RateLDShotPlus,RateLWDefense,RateLWRank,RateLWShotPct,RateLWShotPlus,RateMajor,RateMatch,RateMinor,RateMisconduct,RatePassing,RatePenaltyKilling,RatePhysical,RatePosition,RateRDDefence,RateRDRank,RankRDShotPct,RateRDShotPlus,RateRock,RateRookie,RateRwDefence,RateRWRank,RateRWShotPct,RateRWShotPlus,RateSDefence,RateShiftFatigue,RateShotBlocking,RateSkating,RateSpeed,RateSShotPct,RateSShotPlus,RealAssists,RealBlockedShots,RealCornersLost,RealCornersWon,RealCurrentPointStreak,RealEmptyNetGoals,RealFaceoffsLost,RealFaceoffsWon,RealFightsLost,RealFightsTied,RealFightsWon,RealGAA,RealGamesPlayed,RealGameTyingGoals,RealGameWinningGoals,RealGoals,RealGoalsAgainst,RealHits,RealLongestPointStreak,RealLosses,RealMinutes,RealPassesCompleted,RealPassesIncomplete,RealPenaltyMinutes,RealPlusMinus,RealPoints,RealPowerplayGoals,RealSavePct,RealSaves,RealShorthandedGoals,RealShotsOnGoal,RealShutouts,RealTies,RealWins,SimAssists,SimAssistsLastGame,SimBlockedShots,SimCoincidentalMinors,SimCornersLost,SimCornersWon,SimCurrentPointStreak,SimDaysInjured,SimEmptyNetGoals,SimFaceoffsLost,SimFaceoffsWon,SimFights,SimFightsLost,SimFightsTied,SimFightsWon,SimGAA,SimGameMisconducts,SimGamesPlayed,SimGameTyingGoals,SimGameWinningGoals,SimGoals,SimGoalsAgainst,SimGoalsLastGame,SimGrossMisconducts,SimHits,SimLongestPointStreak,SimLosses,SimMajors,SimMatches,SimMinors,SimMinutes,SimMisconducts,SimPassesCompleted,SimPassesIncomplete,SimPenaltiesInMinutes,SimPlusMinus,SimPoints,SimPowerPlayGoals,SimSavePct,SimSaves,SimShorthandedGoals,SimShotsOnGoal,SimShutouts,SimTies,SimWins,Unused1,Unused2,Unused3,Unused4,Unused5,Unused6
Palat,Ondrej,TBL,105,0,0,0,,0,0,0,0,4,990,0,,0,86,3,0,10,20,13,60,6,0,5,4,0,,0,0,5,1,25,52,0,0,1,0,4,0,3,LW,0,,0,0,0,N,0,,0,0,0,90,0,4,4,25,52,31,42,0,0,0,0,16,2,0,0,0,0,77,0,5,18,0,124,0,0,1270,0,0,20,15,49,1,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Manson,Josh,ANA,1,0,5,4,,0,0,0,7,0,1185,0,,0,86,3,0,10,26,13,49,11,0,37,5,0,,0,0,0,,0,0,0,0,3,0,3,0,4,RD,3,1,13,99,0,N,0,,0,0,0,120,0,3,2,13,99,5,45,0,0,0,0,0,0,0,3,0,0,45,0,0,4,0,116,0,0,889,0,0,53,0,9,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Manson,Josh,COL,49,0,5,0,,0,0,0,0,0,1050,0,,0,86,3,0,10,24,14,53,8,0,60,5,0,,0,0,0,,0,0,0,0,3,0,3,0,4,RD,3,1,13,91,0,N,0,,0,0,0,120,0,3,2,13,91,5,25,0,0,0,0,0,0,0,0,0,0,22,0,0,2,0,63,0,0,383,0,0,12,-11,7,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
McCormick,Max,SEA,0,0,0,5,,0,0,1,0,2,480,0,,0,86,3,0,10,28,14,44,13,0,72,2,0,,0,0,2,1,0,0,0,0,25,0,1,0,3,LW,0,,0,0,0,N,2,2,0,0,0,90,0,2,2,0,0,0,3,0,0,0,0,2,2,0,0,0,0,10,0,0,0,0,11,0,0,81,0,0,10,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Boyd,Travis,ARI,20,3,0,0,1,39,85,2,0,3,990,0,,0,86,3,0,10,38,14,26,21,0,8,2,0,,0,0,0,,0,0,0,0,2,0,3,0,3,C,0,,0,0,0,N,0,,0,0,0,90,1,3,3,39,85,18,55,0,0,0,0,507,420,0,0,0,0,74,0,2,17,0,71,0,0,1222,0,0,34,-10,35,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
DeMelo,Dylan,WPG,21,0,4,1,,0,0,0,0,0,1110,0,,0,86,3,0,10,31,18,33,17,0,6,4,0,,0,0,0,,0,0,0,0,1,0,3,0,3,RD,3,1,3,0,0,N,0,,0,0,0,120,1,3,3,3,0,12,108,0,0,0,0,0,0,0,0,0,0,76,0,0,1,0,113,0,0,1406,0,0,28,10,13,0,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Hofmann,Gregory,CBJ,84,0,0,4,,0,0,0,0,1,750,0,,0,86,3,0,10,16,5,71,7,0,58,1,0,,0,0,2,1,12,31,0,0,1,0,2,0,2,LW,0,,0,0,0,N,2,2,12,31,0,90,0,2,3,12,31,5,10,0,0,0,0,8,0,0,0,0,0,24,0,2,2,0,23,0,0,300,0,0,8,6,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
J.Gaudreau,Johnny,CGY,999,0,0,1,,0,0,0,0,2,1110,0,,0,86,3,0,10,0,0,255,0,0,0,1,0,,0,0,2,1,31,69,0,0,1,6,5,0,1,LW,0,,0,0,0,N,0,,0,0,0,90,0,5,5,31,69,75,9,0,0,0,0,0,1,0,0,0,0,82,0,9,40,0,10,0,0,1523,0,0,26,64,115,6,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Seeler,Nick,PHI,0,0,3,0,,0,0,0,5,0,780,0,,0,86,3,0,10,31,15,40,13,0,39,3,0,,0,0,0,,0,0,0,0,2,0,1,0,5,RD,2,1,6,16,0,N,0,,0,0,0,120,2,1,1,6,16,2,67,0,0,0,0,0,0,0,3,0,0,43,0,0,1,0,75,0,0,562,0,0,29,-3,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Kuraly,Sean,CBJ,16,4,0,1,1,23,47,3,1,4,945,0,,0,86,3,0,10,24,10,53,12,0,5,5,0,,0,0,0,,0,0,0,0,2,83,3,1,5,C,0,,0,0,0,N,0,,0,0,0,90,0,2,3,23,47,16,51,0,0,0,0,642,628,0,1,0,0,77,0,0,14,0,240,0,0,1221,0,0,61,2,30,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Trocheck,Vincent,CAR,25,4,0,2,1,25,57,5,1,5,1080,999,,0,86,3,0,10,33,12,39,15,0,1,4,0,,0,0,0,,0,0,3,0,6,0,4,0,4,C,0,,0,0,0,N,0,,0,0,0,90,0,5,4,25,57,30,46,0,0,0,0,565,680,0,1,0,0,81,0,3,21,0,185,0,0,1448,0,0,78,21,51,6,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Lowry,Adam,WPG,1,4,0,1,1,23,50,4,12,5,930,0,,0,86,3,0,10,34,11,39,15,0,3,5,0,,0,0,0,,0,0,0,0,1,47,3,1,5,C,0,,0,0,0,N,0,,0,0,0,90,0,3,2,23,50,8,43,0,0,0,0,500,564,0,7,0,0,79,0,0,13,0,231,0,0,1223,0,0,59,1,21,0,0,0,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Cousins,Nick,NSH,46,0,0,5,,0,0,1,15,4,750,0,,0,86,3,0,10,30,13,42,14,0,14,3,0,,0,0,2,1,17,36,0,0,1,0,3,0,3,LW,0,,0,0,0,N,0,,0,0,0,90,0,3,3,17,36,13,28,0,0,0,0,26,23,0,3,0,0,68,0,1,9,0,66,0,0,848,0,0,31,-8,22,3,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Coleman,Blake,CGY,37,0,0,3,,0,0,0,2,4,885,0,,0,86,3,0,10,1,0,98,0,0,1,4,0,,0,0,5,1,15,34,0,0,3,0,3,0,5,LW,0,,0,0,0,N,5,2,15,34,0,90,0,4,4,15,34,17,44,0,0,0,0,17,2,0,2,0,0,81,0,2,16,0,163,0,0,1200,0,0,60,16,33,0,0,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Shaw,Logan,OTT,18,3,0,0,1,12,22,3,0,2,555,0,,0,86,3,0,10,24,12,56,7,0,65,1,0,,0,0,0,,0,0,0,0,1,0,2,0,2,C,0,,0,0,0,N,3,2,12,22,0,90,0,3,2,12,22,2,5,0,0,0,0,57,58,0,0,0,0,17,0,0,1,0,11,0,0,159,0,0,2,-3,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Pageau,Jean-Gabriel,NYI,21,4,0,2,1,29,57,5,1,5,1065,0,,0,86,3,0,10,27,11,49,12,0,5,3,0,,0,0,0,,0,0,0,0,1,0,4,1,4,C,0,,0,0,0,N,0,,0,0,0,90,0,4,3,29,57,21,53,0,0,0,0,604,748,0,2,0,0,77,0,0,18,0,171,0,0,1361,0,0,30,0,39,4,0,0,1,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Reilly,Mike,BOS,22,0,2,1,,0,0,0,0,0,1140,0,,0,86,3,0,10,22,13,56,8,0,12,2,3,1,6,14,0,,0,0,0,0,3,0,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,0,3,3,6,14,13,54,0,0,0,0,0,0,0,0,0,0,70,0,0,4,0,94,0,0,1326,0,0,32,-1,17,0,0,0,1,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Mayfield,Scott,NYI,43,0,4,1,,0,0,0,2,0,1185,999,,0,86,3,0,10,21,10,60,8,0,21,3,0,,0,0,0,,0,0,1,0,2,0,3,0,4,RD,3,1,8,5,0,N,0,,0,0,0,120,1,2,2,8,5,15,109,0,0,0,0,0,0,0,2,0,0,61,0,2,3,0,77,0,0,1206,0,0,55,-5,18,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Jenner,Boone,CBJ,3,3,0,1,1,29,62,4,0,4,1230,0,,0,86,3,0,10,29,10,46,14,0,23,3,0,,0,0,0,,0,0,0,0,1,0,4,0,3,C,0,,0,0,0,N,0,,0,0,0,90,1,3,3,29,62,21,56,0,0,0,0,556,642,0,0,0,0,59,0,3,23,0,80,0,0,1207,0,0,22,-11,44,8,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Jaskin,Dmitrij,ARI,5,0,0,0,,0,0,1,0,2,885,0,,0,86,3,0,10,21,7,64,7,0,70,2,0,,0,0,2,1,0,0,0,0,1,0,2,0,5,LW,0,,0,0,0,N,2,2,0,0,0,90,1,2,3,0,0,1,9,0,0,0,0,5,5,0,0,0,0,12,0,0,0,0,47,0,0,177,0,0,4,-6,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
V.Rask,Victor,MIN,389,3,0,0,2,33,68,3,0,3,645,0,,0,86,3,0,10,16,10,70,3,0,53,1,0,,0,0,3,1,33,68,0,0,1,0,3,0,1,LW,0,,0,0,0,N,0,,0,0,0,90,0,3,3,33,68,8,2,0,0,0,0,83,83,0,0,0,0,29,0,0,5,0,9,0,0,311,0,0,2,7,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
V.Rask,Victor,SEA,68,3,0,0,2,29,69,1,0,3,870,0,,0,86,3,0,10,26,17,51,5,0,64,1,0,,0,0,3,1,29,69,0,0,0,0,3,0,1,LW,0,,0,0,0,N,0,,0,0,0,90,0,3,3,29,69,4,3,0,0,0,0,4,6,0,0,0,0,18,0,1,4,0,6,0,0,262,0,0,0,-3,8,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Saad,Brandon,STL,45,0,0,0,,0,0,0,0,4,975,0,,0,86,3,0,10,25,14,51,9,0,4,1,0,,0,0,4,1,30,67,0,0,1,0,4,0,1,LW,0,,0,0,0,N,0,,0,0,0,90,0,4,4,30,67,25,20,0,0,0,0,11,8,0,0,0,0,78,0,1,24,0,20,0,0,1269,0,0,10,11,49,8,0,0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
B.Ritchie,Brett,CGY,0,0,0,5,,0,0,0,3,3,585,0,,0,86,3,0,10,17,9,67,6,0,41,4,0,,0,0,0,,0,0,0,0,5,0,1,0,4,RW,0,,0,0,0,N,3,1,11,28,0,90,0,2,2,11,11,1,5,0,0,0,0,3,1,0,1,0,0,41,0,0,3,0,78,0,0,399,0,0,29,-6,4,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Edmundson,Joel,MTL,15,0,5,1,,0,0,0,1,0,1170,0,,0,86,3,0,10,33,12,39,15,0,58,5,4,1,19,99,0,,0,0,0,0,5,999,2,0,4,LD,0,,0,0,0,N,0,,0,0,0,120,1,2,2,19,99,3,45,0,0,0,0,0,0,0,1,0,0,24,0,0,3,0,61,0,0,470,0,0,35,-1,6,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Nieto,Matt,SJS,35,0,0,1,,0,0,0,1,4,870,0,,0,86,3,0,10,26,15,50,8,0,12,2,0,,0,0,4,2,15,24,0,0,1,0,3,1,3,RW,0,,0,0,0,N,4,1,15,24,0,90,1,3,3,15,24,11,47,0,0,0,0,11,2,0,1,0,0,70,0,0,6,0,96,0,0,1008,0,0,19,-20,17,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
W.Karlsson,William,VGK,32,4,0,0,1,18,42,3,0,4,1095,0,,0,86,3,0,10,23,9,60,7,0,15,2,0,,0,0,0,,0,0,0,0,1,0,4,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,4,4,18,42,23,42,0,0,0,0,475,508,0,0,0,0,67,0,0,12,0,42,0,0,1225,0,0,10,3,35,1,0,0,2,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Kucherov,Nikita,TBL,999,0,0,1,,0,0,0,0,2,1200,0,,0,86,3,0,10,0,0,151,0,0,35,2,0,,0,0,0,,0,0,0,0,2,0,5,0,1,RW,0,,0,0,0,N,1,1,32,60,0,90,0,5,5,32,32,44,7,0,0,0,0,0,1,0,0,0,0,47,0,1,25,0,32,0,0,939,0,0,22,1,69,9,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Nugent-Hopkins,Ryan,EDM,999,3,0,0,1,14,33,1,0,3,1155,0,,0,86,3,0,10,0,0,255,0,0,19,1,0,,0,0,3,2,14,33,0,0,1,0,5,1,1,C,0,,0,0,0,N,0,,0,0,0,90,0,4,4,14,33,39,34,0,0,0,0,259,178,0,0,0,0,63,0,1,11,0,42,0,0,1217,0,0,16,3,50,1,0,0,3,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Landeskog,Gabriel,COL,56,0,0,2,,0,0,3,5,4,1215,0,,0,86,3,0,10,39,15,28,17,0,31,4,0,,0,0,4,1,40,68,0,0,2,863,4,0,4,LW,0,,0,0,1,N,0,,0,0,0,90,0,5,3,40,68,29,34,0,0,0,0,198,241,0,4,0,0,51,0,5,30,0,94,0,0,1036,0,0,78,27,59,7,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Huberdeau,Jonathan,FLA,999,0,0,5,,0,0,0,0,3,1170,63,,0,86,3,0,10,0,0,247,0,0,2,3,0,,0,0,4,1,27,45,0,0,1,13,5,1,3,LW,0,,0,0,0,N,0,,0,0,0,90,0,5,4,27,45,85,28,0,0,0,0,36,18,0,0,0,0,80,0,7,30,0,99,0,0,1555,0,0,54,35,115,5,0,0,3,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
A.Larsson,Adam,SEA,22,0,5,0,,0,0,0,1,0,1335,0,,0,86,3,0,10,28,20,38,13,0,0,4,0,,0,0,0,,0,0,0,0,2,0,3,0,4,RD,5,1,13,55,0,N,0,,0,0,0,120,1,4,3,13,55,17,140,0,0,0,0,0,0,0,1,0,0,82,0,3,8,0,183,0,0,1827,0,0,55,-23,25,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
R.Strome,Ryan,NYR,108,2,0,1,1,26,50,2,1,3,1095,0,,0,86,3,0,10,16,9,69,5,0,8,1,0,,0,0,0,,0,0,0,0,2,39,4,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,3,4,26,50,33,19,0,0,0,0,455,363,0,1,0,0,74,0,5,21,0,41,0,0,1356,0,0,69,15,54,5,0,0,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Zibanejad,Mika,NYR,122,3,0,0,1,26,56,3,0,4,1185,0,,0,86,3,0,10,10,7,80,2,0,1,2,0,,0,0,0,,0,0,0,0,1,0,5,1,2,C,0,,0,0,0,N,0,,0,0,0,90,0,5,4,26,56,52,47,0,0,0,0,638,700,0,0,0,0,81,0,3,29,0,67,0,0,1591,0,0,12,30,81,15,0,0,1,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Scheifele,Mark,WPG,305,2,0,1,1,36,64,3,1,4,1275,0,,0,86,3,0,10,23,10,56,10,0,15,2,0,,0,0,0,,0,0,0,0,1,0,5,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,3,3,36,64,41,47,0,0,0,0,418,430,0,1,0,0,67,0,3,29,0,36,0,0,1416,0,0,23,-17,70,7,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Couturier,Sean,PHI,20,4,0,1,1,15,41,5,0,4,1230,0,,0,86,3,0,10,21,11,61,6,0,53,3,0,,0,0,0,,0,0,0,0,1,0,4,1,1,C,0,,0,0,0,N,0,,0,0,0,90,0,4,3,15,41,11,18,0,0,0,0,190,238,0,0,0,0,29,0,2,6,0,22,0,0,591,0,0,14,-6,17,2,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Hamilton,Dougie,NJD,58,0,3,0,,0,0,0,0,0,1275,0,,0,86,3,0,10,0,0,133,0,0,20,3,0,,0,0,0,,0,0,0,0,2,0,4,0,4,RD,3,1,9,50,0,N,0,,0,0,0,120,0,4,4,9,50,21,92,0,0,0,0,0,0,0,0,0,0,62,0,1,9,0,87,0,0,1316,0,0,34,-19,30,2,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Brodin,Jonas,MIN,20,0,3,0,,0,0,0,0,0,1410,0,,0,86,3,0,10,30,15,40,14,0,9,2,4,1,8,12,0,,0,0,0,0,1,0,4,0,1,LD,0,,0,0,0,N,0,,0,0,0,120,1,4,3,8,12,25,126,0,0,0,0,0,0,0,0,0,0,73,0,1,5,0,42,0,0,1711,0,0,18,9,30,1,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Oleksiak,Jamie,SEA,49,0,5,1,,0,0,0,3,0,1155,0,,0,86,3,0,10,27,12,49,11,0,10,5,4,1,2,6,0,,0,0,0,0,1,999,3,0,5,LD,4,2,2,1,0,N,0,,0,0,0,120,0,2,3,2,6,16,86,0,0,0,0,0,0,0,4,0,0,72,0,0,1,0,182,0,0,1392,0,0,54,-1,17,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
J.Miller,J.T.,VAN,999,3,0,1,1,31,66,4,1,4,1260,0,,0,86,3,0,10,0,0,238,0,0,2,3,0,,0,0,3,2,31,66,0,0,1,0,5,1,4,C,0,,0,0,0,N,0,,0,0,0,90,0,5,4,31,66,67,56,0,0,0,0,566,667,0,1,0,0,80,0,6,32,0,172,0,0,1686,0,0,47,15,99,8,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Armia,Joel,MTL,25,0,0,0,,0,0,0,0,3,825,0,,0,86,3,0,10,20,7,63,9,0,22,3,0,,0,0,3,2,12,26,0,0,1,0,2,0,3,RW,0,,0,0,0,N,3,1,12,26,0,90,0,3,3,12,26,8,27,0,0,0,0,14,3,0,0,0,0,60,0,0,6,0,104,0,0,823,0,0,14,-15,14,1,0,0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Beaulieu,Nathan,WPG,73,0,2,1,,0,0,0,58,0,645,0,,0,86,3,0,10,14,8,72,5,0,58,2,2,1,0,0,0,,0,0,0,0,1,0,2,0,3,LD,2,2,0,0,0,N,0,,0,0,0,120,1,2,2,0,0,4,19,0,0,0,0,0,0,0,3,0,0,24,0,0,0,0,19,0,0,258,0,0,25,-7,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Murphy,Connor,CHI,1,0,5,2,,0,0,0,1,0,1305,0,,0,86,3,0,10,30,18,34,17,0,25,3,0,,0,0,0,,0,0,0,0,2,0,3,0,4,RD,4,1,11,76,0,N,0,,0,0,0,120,2,2,3,11,76,6,150,0,0,0,0,0,0,0,1,0,0,57,0,1,4,0,130,0,0,1240,0,0,47,-14,10,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
