Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season,CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60
Jamie Drysdale,18,ANA,D,24,3,5,8,-12,6,0.8,3,0,0,0,4,1,0,28,10.7,470,19:35,23,7,0,0,,drysdja01,20-21,302,414,42.2,-10.5,230,329,41.1,-9.1,9.5,89.5,99.0,51.3,48.7,16:51,6,19,-6.8,69.0,40.6,3,0.13,0.21,0.33,0.13,1.17,5,7,12,5,17,1,26,0,15.6,22.4,-6.8,0.6,0.2,0.8,,0:43,-10.5,2.4,3.9,1:54,9.2,1.3,0.0,0:49,6.4,0.0,0.0
Dillon Dubé,22,CGY,C,51,11,11,22,-1,20,2.2,9,2,0,0,11,0,0,84,13.1,696,13:38,14,59,9,8,52.9,dubedi01,20-21,564,518,52.1,-0.5,432,402,51.8,-0.3,9.4,90.8,100.3,48.2,51.8,12:16,15,32,3.6,156.0,53.8,9,0.22,0.22,0.43,0.17,1.65,17,17,34,14,33,4,30,0,25.8,22.1,3.6,1.4,0.8,2.2,,0:45,-0.5,2.8,2.7,1:11,1.7,3.9,2.0,0:07,-7.1,0.0,0.0
Pierre-Luc Dubois,22,TOT,LW,46,9,12,21,-8,38,1.6,8,1,0,3,7,5,0,76,11.8,691,15:02,26,59,166,216,43.5,duboipi01,20-21,533,521,50.6,3.9,405,380,51.6,5.1,7.6,88.3,95.8,63.1,36.9,13:28,18,10,-1.4,,,8,0.2,0.26,0.46,0.17,1.65,14,18,32,13,36,13,31,0,24.6,25.9,-1.4,1.1,0.5,1.6,,0:47,5.9,0.9,2.8,1:32,6.7,0.0,0.0,0:00,,0.0,0.0
Matt Duchene,30,NSH,C,34,6,7,13,-12,6,0.7,5,1,0,0,5,2,0,73,8.2,538,15:50,10,30,162,139,53.8,duchema01,20-21,476,410,53.7,4.0,371,313,54.2,3.6,7.7,86.8,94.6,61.9,38.1,13:27,13,15,2.5,126.0,57.9,5,0.18,0.21,0.38,0.16,2.15,9,10,19,8,28,7,34,1,23.0,20.5,2.5,0.5,0.1,0.7,0.0,0:49,4.0,2.8,4.2,2:20,1.3,5.3,0.8,0:01,40.9,0.0,46.8
Anthony Duclair,25,FLA,LW,43,10,22,32,27,18,4.2,9,1,0,1,20,1,1,104,9.6,674,15:41,9,32,0,2,0.0,duclaan01,20-21,578,438,56.9,3.3,449,348,56.3,2.2,12.9,92.9,105.8,54.6,45.4,13:41,11,15,12.3,167.0,62.3,11,0.23,0.51,0.74,0.27,2.42,15,33,48,17,50,4,19,1,31.8,19.6,12.3,2.5,1.7,4.2,2.0,0:51,3.3,4.6,1.8,1:19,-3.1,4.0,0.0,0:34,0.6,2.3,2.3
Mathew Dumba,26,MIN,D,51,6,15,21,1,46,3.5,5,1,0,1,11,4,0,89,6.7,1136,22:17,75,74,0,0,,dumbama01,20-21,775,812,48.8,3.2,594,599,49.8,3.2,10.9,89.4,100.4,46.6,53.4,18:22,11,32,-0.1,186.0,47.8,7,0.12,0.29,0.41,0.15,1.75,9,22,31,11,56,9,59,14,35.5,35.6,-0.1,1.5,2.1,3.5,,0:52,3.2,2.9,2.9,1:59,-1.9,5.2,0.0,1:51,-3.0,0.6,8.7
Brian Dumoulin,29,PIT,D,41,4,10,14,18,12,3.5,4,0,0,0,9,0,1,50,8.0,917,22:21,55,63,0,0,,dumoubr01,20-21,667,677,49.6,-1.3,511,540,48.6,-2.9,10.8,93.0,103.9,52.8,47.2,19:28,24,18,-0.7,104.0,48.1,5,0.1,0.24,0.34,0.12,1.22,6,15,21,7,45,0,41,14,29.2,30.0,-0.7,0.7,2.7,3.5,,0:40,-1.3,3.1,2.0,0:08,-14.7,0.0,0.0,2:45,-7.0,2.2,7.6
Vince Dunn,24,STL,D,43,6,14,20,-8,18,2.7,4,2,0,0,9,5,0,73,8.2,828,19:15,51,36,0,0,,dunnvi02,20-21,629,606,50.9,2.6,434,452,49.0,0.4,7.6,90.6,98.1,58.1,41.9,17:28,10,26,-1.7,164.0,44.5,7,0.14,0.33,0.47,0.16,1.7,9,21,30,11,35,10,31,0,23.0,24.6,-1.7,1.7,1.0,2.7,,0:43,2.6,2.0,2.5,1:42,0.0,8.3,0.0,0:04,13.0,0.0,0.0
Joshua Dunne,22,CBJ,C,6,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,7,0.0,62,10:23,7,12,6,28,17.6,dunnejo01,20-21,45,50,47.4,4.8,33,31,51.6,10.2,0.0,95.2,95.2,34.8,65.2,10:18,1,0,1.9,10.0,70.0,0,0.0,0.0,0.0,0.0,1.17,0,0,0,0,0,0,1,0,3.2,1.4,1.9,-0.2,0.0,-0.1,,0:35,4.8,0.0,1.0,0:01,,0.0,0.0,0:00,,0.0,0.0
Christian Dvorak,24,ARI,C,56,17,14,31,-11,12,3.1,8,8,1,4,11,3,0,95,17.9,1031,18:24,45,48,553,509,52.1,dvorach01,20-21,616,724,46.0,-3.6,465,533,46.6,-2.7,9.8,89.0,98.9,46.3,53.7,13:37,19,18,-4.6,154.0,61.7,13,0.3,0.25,0.55,0.23,1.7,26,21,47,20,47,13,57,13,27.3,31.9,-4.6,2.1,1.0,3.1,0.0,0:43,-3.6,2.6,3.2,2:50,4.1,4.9,1.1,1:55,-7.0,0.6,7.2
Ryan Dzingel,28,TOT,C,40,8,5,13,-5,21,1.2,6,2,0,0,4,1,0,48,16.7,508,12:42,10,44,3,9,25.0,dzingry01,20-21,363,379,48.9,0.0,257,286,47.3,-1.4,6.0,91.9,97.9,36.8,63.2,10:57,8,9,-1.6,,,6,0.2,0.13,0.33,0.14,1.2,12,7,19,8,16,5,16,0,13.7,15.3,-1.6,0.8,0.4,1.2,,0:50,-5.1,1.0,1.9,1:44,-3.6,5.5,0.0,0:00,,0.0,0.0
Cody Eakin,29,BUF,C,46,3,4,7,-9,14,-0.1,3,0,0,0,4,0,0,39,7.7,595,12:56,20,33,271,228,54.3,eakinco01,20-21,335,509,39.7,-8.8,267,399,40.1,-8.1,7.1,90.9,98.1,36.7,63.3,11:15,16,14,-8.7,59.0,66.1,3,0.07,0.09,0.15,0.06,0.85,5,6,11,4,16,0,32,6,14.5,23.2,-8.7,-0.6,0.5,-0.1,,0:40,-8.8,1.7,3.0,0:02,-54.8,0.0,0.0,1:37,-1.9,0.8,4.8
Jordan Eberle,30,NYI,RW,55,16,17,33,9,16,4.2,15,1,0,2,13,4,0,128,12.5,922,16:45,18,30,3,4,42.9,eberljo01,20-21,800,617,56.5,10.9,623,452,58.0,12.0,8.7,90.1,98.9,60.2,39.8,14:24,15,15,15.9,203.0,63.1,13,0.29,0.31,0.6,0.24,2.33,24,25,49,20,51,10,34,1,41.6,25.7,15.9,2.6,1.6,4.2,6.0,0:43,10.9,3.1,2.5,2:17,-3.0,4.7,0.0,0:00,21.4,0.0,75.0
Alexander Edler,34,VAN,D,52,0,8,8,-8,58,1.3,0,0,0,0,8,0,0,99,0.0,1087,20:54,118,80,0,0,,edleral01,20-21,722,904,44.4,-3.0,581,661,46.8,0.4,8.4,89.7,98.1,32.2,67.8,17:10,13,26,-3.3,177.0,55.9,2,0.0,0.15,0.15,0.04,1.9,0,12,12,3,41,1,71,22,36.2,39.6,-3.3,-0.5,1.8,1.3,,0:37,-3.0,2.5,3.3,0:16,-8.8,3.9,0.0,3:27,-3.9,1.0,7.4
Joel Edmundson,27,MTL,D,55,3,10,13,28,25,4.8,3,0,0,0,10,0,0,77,3.9,1103,20:03,75,98,0,0,,edmunjo01,20-21,951,787,54.7,0.8,687,588,53.9,1.0,10.0,93.6,103.6,47.5,52.5,17:35,6,69,8.1,180.0,42.8,4,0.05,0.18,0.24,0.08,1.4,5,15,20,7,55,0,45,18,40.1,31.9,8.1,0.4,4.4,4.8,,0:33,0.8,3.1,1.7,0:04,-29.5,0.0,0.0,2:18,0.2,2.3,8.5
Nikolaj Ehlers,24,WPG,LW,47,21,25,46,15,15,6.2,15,6,0,5,18,7,0,148,14.2,795,16:55,12,26,1,0,100.0,ehlerni01,20-21,681,613,52.6,6.5,491,463,51.5,5.0,10.6,92.5,103.1,57.0,43.0,15:11,18,19,-0.7,253.0,58.5,18,0.45,0.53,0.98,0.38,3.15,32,37,69,28,56,15,25,0,30.3,31.0,-0.7,4.7,1.5,6.2,,0:54,6.5,3.4,2.1,1:40,6.5,11.3,0.0,0:00,24.1,0.0,0.0
Jack Eichel,24,BUF,C,21,2,16,18,-9,6,1.2,1,1,0,1,8,8,0,61,3.3,430,20:30,15,20,195,197,49.7,eicheja01,20-21,318,252,55.8,8.3,253,193,56.7,10.0,6.4,86.7,93.1,61.1,38.9,16:60,4,11,1.9,107.0,57.0,6,0.1,0.76,0.86,0.26,2.9,3,24,27,8,24,13,21,1,13.0,11.1,1.9,0.9,0.2,1.2,1.0,0:47,8.3,1.8,3.2,3:26,4.3,11.1,0.9,0:02,-11.9,0.0,19.7
Aaron Ekblad,24,FLA,D,35,11,11,22,5,33,4.4,5,6,0,3,6,5,0,101,10.9,878,25:05,27,24,0,0,,ekblaaa01,20-21,571,488,53.9,2.6,443,376,54.1,2.9,9.5,90.4,99.9,51.0,49.0,18:42,11,22,9.3,193.0,52.3,9,0.31,0.31,0.63,0.26,2.89,17,16,33,14,56,22,38,10,28.6,19.3,9.3,2.4,2.0,4.4,,0:41,2.6,2.9,2.4,3:52,7.5,9.7,0.9,2:31,2.8,1.4,6.8
Mattias Ekholm,30,NSH,D,48,6,17,23,19,14,5.6,6,0,0,2,14,2,1,110,5.5,1098,22:52,46,23,0,0,,ekholma01,20-21,826,778,51.5,3.5,661,608,52.1,3.3,10.2,93.3,103.6,48.5,51.5,18:40,17,32,-0.8,227.0,48.5,8,0.13,0.35,0.48,0.17,2.29,9,25,34,12,53,3,51,20,37.3,38.2,-0.8,1.8,3.9,5.6,,0:55,3.5,3.2,2.1,1:33,-3.8,2.4,0.0,2:38,-6.3,0.9,9.5
Oliver Ekman-Larsson,29,ARI,D,46,3,21,24,-17,32,2.8,1,2,0,0,9,12,0,83,3.6,965,20:58,26,72,0,0,,ekmanol01,20-21,644,692,48.2,0.2,482,554,46.5,-2.5,8.0,89.1,97.1,46.3,53.7,16:49,12,25,-7.7,175.0,47.4,7,0.07,0.46,0.52,0.16,1.8,5,31,36,11,45,17,52,7,26.4,34.1,-7.7,1.6,1.1,2.8,,0:49,0.2,2.2,3.4,2:23,-2.6,9.3,0.5,1:44,-0.4,0.0,5.1
Lars Eller,31,WSH,C,44,8,15,23,-1,21,1.9,8,0,0,2,11,4,0,69,11.6,719,16:21,16,36,332,327,50.4,ellerla01,20-21,583,481,54.8,4.7,438,376,53.8,4.2,9.1,88.9,98.0,57.1,42.9,13:29,19,20,5.4,134.0,51.5,8,0.18,0.34,0.52,0.19,1.57,12,22,34,13,33,5,37,8,24.5,19.1,5.4,1.2,0.7,1.9,,0:39,4.7,2.8,2.9,0:52,-0.7,7.9,0.0,1:59,1.2,0.0,5.5
Ryan Ellis,30,NSH,D,35,5,13,18,1,10,3.3,3,2,0,0,11,2,0,75,6.7,832,23:46,63,21,0,0,,ellisry01,20-21,617,565,52.2,2.5,467,433,51.9,0.8,9.1,90.4,99.4,57.6,42.4,19:03,7,22,-0.8,145.0,51.7,6,0.14,0.37,0.51,0.18,2.14,8,19,27,10,36,5,40,9,25.8,26.6,-0.8,1.5,1.9,3.3,1.0,0:43,2.5,2.8,2.8,2:10,3.1,3.9,0.0,2:31,-3.6,0.0,6.1
Pierre Engvall,24,TOR,LW,42,7,5,12,2,16,1.0,7,0,0,1,5,0,0,61,11.5,501,11:56,12,43,102,135,43.0,engvapi01,20-21,418,417,50.1,-0.3,330,313,51.3,-0.3,7.8,92.2,100.1,36.7,63.3,11:18,6,19,3.2,103.0,59.2,5,0.17,0.12,0.29,0.12,1.45,11,7,18,8,19,0,20,3,20.8,17.6,3.2,0.5,0.5,1.0,,0:40,-0.3,2.4,2.2,0:05,-16.9,0.0,0.0,0:32,-14.8,0.0,7.9
Tyler Ennis,31,EDM,C,30,3,6,9,0,6,0.6,3,0,0,2,6,0,0,38,7.9,364,12:08,6,43,6,3,66.7,ennisty01,20-21,262,311,45.7,-5.1,196,233,45.7,-5.2,8.5,92.9,101.4,47.2,52.8,11:48,10,9,-1.6,59.0,64.4,3,0.1,0.2,0.3,0.11,1.27,5,9,14,5,12,0,12,0,11.2,12.8,-1.6,0.2,0.4,0.6,,0:47,-5.1,2.0,2.0,0:17,-8.5,0.0,0.0,0:00,-11.2,0.0,0.0
Mackenzie Entwistle,21,CHI,RW,5,1,1,2,1,2,0.3,1,0,0,0,1,0,0,6,16.7,49,9:49,2,10,6,21,22.2,entwima01,20-21,28,62,31.1,-11.9,21,51,29.2,-14.5,10.5,97.6,108.1,46.4,53.6,9:49,1,0,-2.1,8.0,75.0,1,0.2,0.2,0.4,0.16,1.2,2,1,3,1,2,0,1,0,1.7,3.7,-2.1,0.2,0.1,0.3,,0:30,-11.9,2.4,1.2,0:00,,,,0:00,,,
Loui Eriksson,35,VAN,LW,7,0,1,1,-3,2,-0.1,0,0,0,0,1,0,0,5,0.0,67,9:35,1,1,1,0,100.0,erikslo01,20-21,36,68,34.6,-17.6,28,56,33.3,-19.2,4.2,87.9,92.0,33.3,66.7,8:32,6,0,-2.2,7.0,71.4,0,0.0,0.14,0.14,0.04,0.71,0,2,2,1,1,0,4,0,1.3,3.5,-2.2,-0.1,0.0,-0.1,,0:36,-17.6,1.0,4.0,0:00,,,,1:02,2.5,0.0,0.0
Joel Eriksson Ek,24,MIN,C,56,19,11,30,16,20,4.0,19,0,0,2,9,2,0,119,16.0,955,17:03,37,105,395,444,47.1,eriksjo02,20-21,656,711,48.0,2.3,510,521,49.5,2.9,11.5,92.0,103.5,43.1,56.9,14:08,21,10,6.1,170.0,70.6,14,0.34,0.2,0.54,0.24,2.13,29,16,45,20,51,7,42,14,33.6,27.5,6.1,2.5,1.5,4.0,1.0,0:44,2.3,3.3,2.1,1:11,3.6,6.1,0.0,1:39,0.2,0.0,8.9
Adam Erne,25,DET,LW,45,11,9,20,-1,26,2.2,8,3,0,0,6,3,0,71,15.5,626,13:55,16,82,20,14,58.8,ernead01,20-21,423,502,45.7,1.0,331,377,46.8,1.9,8.2,93.0,101.3,39.9,60.1,12:20,10,6,-0.5,105.0,67.6,8,0.24,0.2,0.44,0.19,1.58,17,13,30,13,28,7,20,0,19.1,19.6,-0.5,1.5,0.8,2.2,3.0,0:45,1.0,2.3,2.1,1:33,5.5,6.1,0.9,0:00,39.0,0.0,0.0
Jake Evans,24,MTL,C,47,3,10,13,2,29,0.8,2,0,1,0,9,0,1,55,5.5,556,11:50,26,79,203,202,50.1,evansja02,20-21,407,370,52.4,-3.5,301,276,52.2,-2.5,7.3,91.9,99.2,49.0,51.0,9:54,12,16,1.7,91.0,60.4,4,0.06,0.21,0.28,0.09,1.17,5,15,20,7,18,0,32,16,16.8,15.1,1.7,0.1,0.7,0.8,,0:27,-3.5,2.1,2.1,0:04,11.0,0.0,0.0,1:49,-0.2,1.4,11.2
Robby Fabbri,25,DET,C,30,10,8,18,3,16,2.3,10,0,0,5,6,2,0,58,17.2,518,17:16,17,34,83,107,43.7,fabbrro01,20-21,333,404,45.2,-0.6,265,306,46.4,0.8,12.4,90.9,103.3,50.6,49.4,14:50,3,16,-0.4,96.0,60.4,8,0.33,0.27,0.6,0.25,1.93,15,12,27,11,27,3,22,0,17.4,17.8,-0.4,1.5,0.8,2.3,,0:42,-0.6,3.2,2.8,2:23,-4.1,2.5,0.8,0:01,37.9,0.0,0.0
Dante Fabbro,22,NSH,D,40,2,10,12,-1,23,2.2,1,1,0,1,9,1,0,59,3.4,773,19:19,57,32,0,0,,fabbrda01,20-21,595,600,49.8,-1.7,482,446,51.9,0.9,6.5,92.8,99.2,53.1,46.9,17:29,8,26,-1.2,101.0,58.4,4,0.05,0.25,0.3,0.1,1.48,3,15,18,6,25,2,34,9,27.6,28.8,-1.2,0.6,1.6,2.2,,0:47,-1.7,1.9,2.1,0:22,-3.3,7.3,0.0,1:26,-1.8,1.1,9.5
Radek Faksa,27,DAL,C,55,6,8,14,-15,30,0.0,4,1,1,0,7,1,0,94,6.4,959,17:26,45,100,424,336,55.8,faksara01,20-21,601,688,46.6,-8.8,429,510,45.7,-9.6,6.4,91.0,97.4,35.6,64.4,13:50,18,21,-3.5,144.0,65.3,5,0.11,0.15,0.25,0.1,1.71,9,12,21,8,26,5,52,17,24.8,28.2,-3.5,-0.6,0.6,0.0,,0:41,-8.8,1.6,2.6,1:33,-4.9,3.5,1.4,2:00,-2.3,0.5,9.2
Joel Farabee,20,PHI,LW,55,20,18,38,0,28,4.3,17,3,0,1,14,4,0,122,16.4,881,16:01,21,48,6,9,40.0,farabjo01,20-21,602,574,51.2,-1.4,460,443,50.9,-0.9,11.2,89.1,100.3,54.4,45.6,12:31,27,20,3.3,189.0,64.6,15,0.36,0.33,0.69,0.28,2.22,30,27,57,24,51,12,46,8,27.9,24.6,3.3,3.4,0.8,4.3,1.0,0:36,-1.4,3.4,3.0,1:59,2.2,6.5,1.6,1:29,2.6,0.0,5.9
David Farrance,21,NSH,D,2,0,0,0,3,0,0.3,0,0,0,0,0,0,0,3,0.0,36,18:08,1,1,0,0,,farrada01,20-21,20,33,37.7,-17.3,18,25,41.9,-17.2,14.3,100.0,114.3,46.7,53.3,15:15,0,0,0.1,4.0,75.0,0,0.0,0.0,0.0,0.0,1.5,0,0,0,0,3,0,0,0,1.3,1.1,0.1,0.0,0.3,0.3,,0:41,-17.3,3.9,0.0,2:04,0.0,0.0,0.0,0:21,81.3,85.7,0.0
Hudson Fasching,25,ARI,RW,5,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,7,0.0,47,9:28,1,6,0,0,,faschhu01,20-21,35,41,46.1,-0.7,31,32,49.2,0.2,0.0,87.0,87.0,36.4,63.6,9:20,0,1,0.0,9.0,77.8,0,0.0,0.0,0.0,0.0,1.4,0,0,0,0,0,0,3,0,2.3,2.3,0.0,-0.1,-0.1,-0.2,,0:19,-0.7,0.0,3.9,0:00,,,,0:08,-13.2,0.0,0.0
Jesper Fast,29,CAR,RW,46,6,13,19,-4,14,1.3,5,1,0,1,10,3,0,38,15.8,704,15:18,23,78,13,25,34.2,fastje01,20-21,510,471,52.0,-2.1,377,365,50.8,-3.2,7.2,90.2,97.4,46.8,53.2,12:57,5,11,-2.0,69.0,55.1,7,0.13,0.28,0.41,0.14,0.83,9,19,28,10,30,11,28,2,21.8,23.7,-2.0,0.6,0.7,1.3,,0:50,-2.1,1.9,2.6,1:08,-11.5,12.5,0.0,1:10,-11.6,0.0,2.2
Justin Faulk,28,STL,D,56,7,18,25,11,35,5.2,6,1,0,2,12,4,2,117,6.0,1359,24:16,87,127,0,0,,faulkju01,20-21,928,984,48.5,0.5,699,742,48.5,0.9,11.4,90.4,101.9,47.0,53.0,20:41,24,35,-5.3,223.0,52.5,9,0.13,0.32,0.45,0.15,2.09,11,27,38,13,71,7,76,23,37.4,42.6,-5.3,1.6,3.6,5.2,,0:39,0.5,3.1,2.7,0:52,-1.0,8.4,1.2,2:40,4.3,1.6,9.2
Mario Ferraro,22,SJS,D,56,1,16,17,-6,22,2.6,1,0,0,0,12,4,0,58,1.7,1256,22:26,96,155,0,0,,ferrama01,20-21,882,1016,46.5,-2.3,662,763,46.5,-3.0,10.3,89.7,100.0,42.7,57.3,18:31,30,20,-0.6,106.0,54.7,5,0.02,0.29,0.3,0.09,1.04,2,24,26,8,57,5,81,22,44.1,44.7,-0.6,0.4,2.2,2.6,,0:36,-2.3,2.9,3.4,1:02,2.5,5.0,1.0,2:51,1.7,0.8,8.3
Kevin Fiala,24,MIN,LW,50,20,20,40,-2,43,4.6,14,6,0,5,12,8,0,162,12.3,845,16:54,13,27,5,10,33.3,fialake01,20-21,621,603,50.7,5.4,465,460,50.3,3.6,10.8,89.6,100.4,50.6,49.4,13:27,41,45,1.7,290.0,55.9,17,0.4,0.4,0.8,0.33,3.24,30,30,60,25,51,16,36,0,28.6,26.9,1.7,4.0,0.7,4.6,0.0,0:49,5.4,3.1,2.9,3:05,0.7,6.2,1.2,0:19,15.0,0.0,0.0
Valtteri Filppula,36,DET,C,38,6,9,15,-1,12,1.3,6,0,0,1,9,0,0,25,24.0,593,15:36,15,9,109,133,45.0,filppva01,20-21,339,456,42.6,-4.1,270,338,44.4,-1.8,12.0,88.9,100.9,46.3,53.7,13:46,7,10,-1.2,41.0,61.0,6,0.16,0.24,0.39,0.15,0.66,9,13,22,8,26,1,31,4,17.8,19.0,-1.2,0.5,0.7,1.3,0.0,0:42,-4.1,2.9,3.0,1:17,-12.1,1.2,1.2,0:29,5.0,0.0,11.5
Christian Fischer,23,ARI,RW,52,3,8,11,-10,6,0.1,3,0,0,0,7,1,0,47,6.4,663,12:45,27,148,12,12,50.0,fischch01,20-21,412,526,43.9,-6.0,320,388,45.2,-4.4,8.7,90.2,98.9,37.3,62.7,10:33,7,11,-9.0,85.0,55.3,4,0.06,0.15,0.21,0.07,0.9,5,12,17,6,23,4,36,8,17.9,26.9,-9.0,-0.4,0.5,0.1,,0:34,-6.0,2.1,3.1,0:22,-10.6,12.1,0.0,1:48,4.8,0.0,5.1
Haydn Fleury,24,TOT,D,47,3,1,4,-12,8,0.6,3,0,0,0,1,0,0,62,4.8,724,15:24,55,63,0,0,,fleurha01,20-21,581,533,52.2,-1.2,428,409,51.1,-1.7,5.4,90.3,95.8,49.6,50.4,14:06,7,27,-0.5,,,2,0.06,0.02,0.09,0.04,1.32,5,1,6,3,16,0,32,4,23.2,23.7,-0.5,-0.1,0.8,0.6,,0:33,0.4,1.1,2.8,0:03,10.7,0.0,0.0,1:14,-0.4,0.0,3.8
Warren Foegele,24,CAR,LW,53,10,10,20,4,20,2.0,10,0,0,1,10,0,0,91,11.0,750,14:09,12,60,18,17,51.4,foegewa01,20-21,648,576,52.9,-1.0,485,454,51.7,-2.1,7.5,93.2,100.7,44.7,55.3,13:00,16,28,1.9,155.0,58.7,8,0.19,0.19,0.38,0.15,1.72,15,15,30,12,26,0,23,1,29.5,27.6,1.9,1.0,1.1,2.0,,0:48,-1.0,2.3,1.9,0:05,0.6,0.0,0.0,1:01,-7.7,0.0,1.1
Steven Fogarty,27,BUF,C,9,1,2,3,2,8,0.4,1,0,0,0,2,0,0,5,20.0,106,11:44,10,4,7,5,58.3,fogarst01,20-21,46,90,33.8,-12.8,37,69,34.9,-9.8,14.3,94.4,108.7,27.3,72.7,11:30,5,0,-2.4,8.0,62.5,1,0.11,0.22,0.33,0.12,0.56,2,3,5,2,4,0,5,2,2.2,4.5,-2.4,0.1,0.2,0.4,,0:45,-12.8,2.3,1.7,0:01,-84.2,0.0,0.0,0:12,-10.5,0.0,66.1
Marcus Foligno,29,MIN,LW,39,11,15,26,19,49,3.5,10,0,1,2,15,0,0,40,27.5,584,14:58,17,109,2,9,18.2,foligma01,20-21,367,435,45.8,-3.1,288,322,47.2,-2.8,16.6,91.9,108.5,43.0,57.0,13:11,15,14,5.2,62.0,64.5,10,0.28,0.38,0.67,0.26,1.03,17,22,39,15,37,0,27,9,19.5,14.3,5.2,2.3,1.3,3.5,,0:38,-3.1,4.2,2.1,0:15,-21.7,0.0,0.0,1:27,1.0,1.0,9.4
Nick Foligno,33,TOT,LW,49,7,13,20,2,32,1.5,6,1,0,0,9,1,3,81,8.6,871,17:46,37,133,117,144,44.8,foligni01,20-21,540,619,46.6,-0.1,422,457,48.0,0.7,7.9,91.4,99.3,43.0,57.0,14:08,13,21,-2.9,,,7,0.14,0.27,0.41,0.15,1.65,11,19,30,11,37,9,37,9,21.9,24.8,-2.9,0.3,1.2,1.5,,0:40,-0.2,1.7,2.4,1:55,7.0,5.8,0.0,1:39,-3.4,2.6,7.8
Callan Foote,22,TBL,D,35,1,2,3,9,29,1.5,1,0,0,0,2,0,0,40,2.5,451,12:53,29,39,0,0,,footeca01,20-21,331,339,49.4,-2.7,261,253,50.8,-1.3,10.0,93.3,103.3,58.9,41.1,12:23,1,5,0.4,78.0,51.3,1,0.03,0.06,0.09,0.03,1.14,2,3,5,2,20,0,15,2,17.6,17.2,0.4,-0.1,1.7,1.5,,0:43,-2.7,2.8,1.8,0:01,,0.0,0.0,0:28,15.0,0.0,7.3
Nolan Foote,20,NJD,LW,6,1,1,2,-1,0,0.2,1,0,0,0,1,0,0,5,20.0,58,9:41,1,5,0,2,0.0,footeno01,20-21,45,47,48.9,3.3,36,33,52.2,5.9,14.8,78.3,93.1,71.4,28.6,9:38,1,2,-0.4,6.0,83.3,1,0.17,0.17,0.33,0.13,0.83,2,1,3,1,4,0,5,0,2.7,3.1,-0.4,0.1,0.0,0.2,,0:35,3.3,4.2,5.2,0:03,-87.8,0.0,0.0,0:00,,,
Derek Forbort,28,WPG,D,56,2,10,12,1,35,2.6,2,0,0,0,10,0,0,67,3.0,1162,20:45,115,80,0,0,,forbode01,20-21,796,864,48.0,-0.7,579,630,47.9,-0.7,9.8,89.7,99.5,52.0,48.0,17:52,19,54,-5.5,174.0,38.5,4,0.04,0.18,0.21,0.07,1.2,3,15,18,6,45,0,60,15,35.5,41.0,-5.5,0.0,2.6,2.6,,0:51,-0.7,2.5,2.7,0:05,-11.1,0.0,0.0,2:42,-0.4,1.2,5.9
Alex Formenton,21,OTT,LW,20,4,2,6,6,6,0.9,3,0,1,0,2,0,0,27,14.8,240,12:00,8,23,1,4,20.0,formeal01,20-21,146,201,42.1,-5.1,108,148,42.2,-5.1,15.1,93.7,108.8,37.4,62.6,10:01,11,6,-2.9,39.0,69.2,3,0.2,0.1,0.3,0.14,1.35,6,3,9,4,12,0,10,3,5.7,8.7,-2.9,0.4,0.5,0.9,,0:48,-5.1,3.3,2.1,0:00,19.6,0.0,0.0,1:57,3.1,1.5,4.6
Filip Forsberg,26,NSH,C,39,12,20,32,-9,16,3.2,9,3,0,3,10,10,0,129,9.3,713,18:17,14,47,3,5,37.5,forsbfi01,20-21,596,520,53.4,2.0,467,390,54.5,2.4,6.6,90.1,96.7,58.4,41.6,15:19,22,21,-0.1,213.0,60.6,12,0.31,0.51,0.82,0.31,3.31,18,30,48,18,39,18,31,1,22.0,22.2,-0.1,2.7,0.5,3.2,2.0,0:44,2.0,2.1,2.8,2:56,-0.1,9.3,1.0,0:00,15.7,0.0,116.1
Gustav Forsling,24,FLA,D,43,5,12,17,17,8,4.1,4,1,0,0,9,3,0,94,5.3,858,19:57,42,30,0,0,,forslgu02,20-21,693,617,52.9,-1.8,547,463,54.2,-0.4,9.3,93.3,102.6,41.5,58.5,16:57,19,26,9.3,165.0,57.0,6,0.12,0.28,0.4,0.14,2.19,8,18,26,9,46,5,41,17,35.5,26.3,9.3,1.3,2.9,4.1,,0:45,-1.8,3.3,2.0,0:27,0.5,14.6,0.0,2:29,-9.4,0.6,9.5
